method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.34783955,clear,0.35635651,Brucella sp. 83/13,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.46601956,clear,0.35635651,Brucella sp. F5/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.48783318,clear,0.35635651,Brucella sp. NVSL 07-0026,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.13678544,clear,0.35635651,Brucella sp. 56/94,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.4937746,clear,0.35635651,Brucella sp. 63/311,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.55707012,clear,0.35635651,Brucella sp. F23/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.44247421,clear,0.35635651,Brucella sp. F5/06,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.55319742,clear,0.35635651,Brucella sp. F8/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.52328036,clear,0.35635651,Brucella sp. F96/2,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.48059151,clear,0.35635651,Brucella sp. UK1/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.54575181,clear,0.35635651,Brucella sp. UK40/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.54670644,clear,0.35635651,Brucella sp. 04-5288,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.35635651,Brucella canis,canis,3
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.72148227,clear,0.35635651,Brucella abortus,abortus,0
