method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.24539368,clear,0.30708704,Brucella sp. 83/13,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.39292897,clear,0.30708704,Brucella sp. F5/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.404867,clear,0.30708704,Brucella sp. NVSL 07-0026,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.05978695,clear,0.30708704,Brucella sp. 56/94,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.41240261,clear,0.30708704,Brucella sp. 63/311,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.48124772,clear,0.30708704,Brucella sp. F23/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.36108421,clear,0.30708704,Brucella sp. F5/06,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.47782772,clear,0.30708704,Brucella sp. F8/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.44817751,clear,0.30708704,Brucella sp. F96/2,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.40596396,clear,0.30708704,Brucella sp. UK1/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.47212749,clear,0.30708704,Brucella sp. UK40/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.46288835,clear,0.30708704,Brucella sp. 04-5288,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.30708704,Brucella canis,canis,3
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.71546184,clear,0.30708704,Brucella abortus,abortus,0
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.69534079,clear,0.30708704,Brucella abortus,abortus,0
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.30708704,Brucella suis,suis,2
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,,not_computed,0.30708704,Brucella pinnipedialis,pinnipedialis,4
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.30708704,Brucella melitensis,melitensis,1
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.45251367,clear,0.30708704,Brucella sp. 2002734562,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.02497019,possibly_misplaced,0.30708704,Brucella sp. B13-0095,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.16687971,possibly_misplaced,0.30708704,Brucella sp. 09RB8471,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.17608846,possibly_misplaced,0.30708704,Brucella sp. 09RB8910,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.16834501,clear,0.30708704,Brucella sp. 2280,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.20814791,clear,0.30708704,Brucella sp. DSM 103976,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.26114251,clear,0.30708704,Brucella sp. 6810,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.07342407,clear,0.30708704,Brucella sp. BO2,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.30708704,Brucella vulpis,vulpis,5
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.23186838,clear,0.30708704,Brucella sp. 10RB9215,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.30708704,Brucella inopinata,inopinata,6
