sample,label,class,raw_cosine_silhouette,length_weighted_cosine_silhouette
sample01.functional,0,functional,-0.07013198803100297,-0.06686337751713663
sample02.functional,0,functional,-0.068431228715395,-0.06884426528314415
sample03.functional,0,functional,-0.06375495768732435,-0.06050817509031139
sample04.functional,0,functional,-0.06233257190382108,-0.0594017191752757
sample05.functional,0,functional,-0.07761427142939782,-0.07850635430652796
sample06.pathological,1,pathological,0.18411708130741852,0.17649067982273883
sample07.pathological,1,pathological,0.18918932168183492,0.18466104752294066
sample08.pathological,1,pathological,0.1919574462185016,0.1854859689742777
sample09.pathological,1,pathological,0.19116279484425716,0.18264657335159773
sample10.pathological,1,pathological,0.18893606129588872,0.18399570331309087
