sample,label,class,raw_cosine_silhouette,length_weighted_cosine_silhouette
sample01.functional,0,functional,-0.062262527056130515,-0.05213457094869835
sample02.functional,0,functional,-0.06956225176105525,-0.07082425773993496
sample03.functional,0,functional,-0.04773767686224493,-0.038023786532924535
sample04.functional,0,functional,-0.0554093039357464,-0.04631399995349493
sample05.functional,0,functional,-0.06543839081105163,-0.0688668603825086
sample06.pathological,1,pathological,0.16294185487865384,0.14024078749648097
sample07.pathological,1,pathological,0.1647410739250966,0.15112400693620254
sample08.pathological,1,pathological,0.17449996738542176,0.1553206335589144
sample09.pathological,1,pathological,0.1620301818988193,0.13788794629157056
sample10.pathological,1,pathological,0.16192892495211778,0.14721800523260115
