sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.2888033446206554
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.8381124585342663
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.4636614423016191
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5927550039819136
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.7648229902868642
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.5405477944819059
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.8463758238805519
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.619742786322245
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.41585681427404014
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.8956490338220744
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.5645069547087818
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.5535360668838082
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.11012772118008783
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.6070730792115219
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.5403632416439448
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.3098063453471997
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.6532031874290142
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.3307819225554199
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.1481379332706605
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.19524940992125586
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.29485845056410426
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.09335712838825304
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.11884616345767587
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
