method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.27330455,clear,0.31611953,Brucella sp. 83/13,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.40949363,clear,0.31611953,Brucella sp. F5/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.42494806,clear,0.31611953,Brucella sp. NVSL 07-0026,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.07333285,clear,0.31611953,Brucella sp. 56/94,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.43149193,clear,0.31611953,Brucella sp. 63/311,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.49932299,clear,0.31611953,Brucella sp. F23/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.38006504,clear,0.31611953,Brucella sp. F5/06,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.49549058,clear,0.31611953,Brucella sp. F8/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.4660325,clear,0.31611953,Brucella sp. F96/2,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.42421342,clear,0.31611953,Brucella sp. UK1/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.48803539,clear,0.31611953,Brucella sp. UK40/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.48436203,clear,0.31611953,Brucella sp. 04-5288,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.31611953,Brucella canis,canis,3
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.72294785,clear,0.31611953,Brucella abortus,abortus,0
