sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.19811341443266253
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.8100064779472437
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.4571170728919058
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5923257369453959
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.7637844001574583
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.54644485916004
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.8340717299472591
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.6220864668793828
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.4456625909330514
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.85592618893077
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.6027262445516078
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.5530103058939924
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.09800075399544313
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.575967452042832
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.5459179193426685
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.256769701683341
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.5066584174430269
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.2730553617714812
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.111772410117874
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.12071547053232085
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.20999426682977654
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.045412090649516255
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.09401387368000547
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
