0.00000000,0.16185404,0.15768666,0.16647536,0.16898238,0.17090597,0.16767455,0.16784018,0.16829685,0.16798285
0.15998156,0.00000000,0.15376557,0.16271629,0.16530586,0.16626041,0.16506526,0.16408220,0.16454386,0.16537735
0.16287442,0.16082699,0.00000000,0.16520416,0.16828251,0.17004336,0.16795854,0.16698788,0.16743849,0.16827242
0.16704740,0.16516051,0.16058927,0.00000000,0.17245219,0.17421781,0.17213116,0.17083403,0.17160836,0.17244261
0.17018764,0.16838259,0.16430050,0.17308565,0.00000000,0.17526279,0.17398638,0.17248310,0.17094228,0.17574681
0.16320678,0.16042961,0.15715238,0.16594696,0.16656872,0.00000000,0.15661559,0.16091294,0.15375909,0.15943882
0.16173612,0.16099807,0.15683081,0.16562254,0.16684480,0.15837958,0.00000000,0.15582323,0.15534446,0.15806896
0.16417863,0.16229186,0.15813716,0.16660147,0.16761745,0.16495346,0.15810057,0.00000000,0.15527591,0.15545763
0.16165575,0.15977392,0.15560805,0.16439652,0.16309655,0.15482070,0.15464192,0.15229594,0.00000000,0.16062098
0.15817225,0.15743781,0.15327181,0.16206243,0.16473718,0.15733025,0.15419612,0.14930657,0.15745146,0.00000000
