sample,label,class,silhouette_score
sample01.functional,0,functional,-0.07013198803100297
sample02.functional,0,functional,-0.068431228715395
sample03.functional,0,functional,-0.06375495768732435
sample04.functional,0,functional,-0.06233257190382108
sample05.functional,0,functional,-0.07761427142939782
sample06.pathological,1,pathological,0.18411708130741852
sample07.pathological,1,pathological,0.18918932168183492
sample08.pathological,1,pathological,0.1919574462185016
sample09.pathological,1,pathological,0.19116279484425716
sample10.pathological,1,pathological,0.18893606129588872
