,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,3705.8508606469545,2839.1735663794734,2864.251549293744,2805.9117486436417,2783.4321170700437,2649.954152692728,2686.1712826905114,2685.211686110642,2672.574705460659,2690.236344661352
sample02.functional,2839.1735663794734,3731.011738808015,2900.4153891996507,2842.075588549541,2824.649453640159,2698.3907702117176,2705.492583527729,2715.4917236387205,2705.518572272541,2709.0596004994372
sample03.functional,2864.251549293744,2900.4153891996507,3734.2629919158817,2875.816708602464,2844.673939890223,2711.1959755129024,2730.5705664419993,2740.569706552993,2729.874627091928,2734.137583413713
sample04.functional,2805.9117486436417,2842.075588549541,2875.816708602464,3702.655940100367,2786.334139240116,2652.8561748628,2672.230765791895,2689.4491868517607,2671.534826441821,2675.797782763606
sample05.functional,2783.4321170700437,2824.649453640159,2844.673939890223,2786.334139240116,3686.4258822412094,2661.6949975630396,2669.4290792787156,2688.837891742447,2690.1523259111145,2653.3181511900143
sample06.pathological,2649.954152692728,2698.3907702117176,2711.1959755129024,2652.8561748628,2661.6949975630396,3511.0546790366666,2689.942262694347,2638.8806918954715,2727.8093630499698,2680.5199218549697
sample07.pathological,2686.1712826905114,2705.492583527729,2730.5705664419993,2672.230765791895,2669.4290792787156,2689.942262694347,3529.960274372177,2728.7583806696457,2730.0065027773153,2709.3306998167095
sample08.pathological,2685.211686110642,2715.4917236387205,2740.569706552993,2689.4491868517607,2688.837891742447,2638.8806918954715,2728.7583806696457,3527.5494659575565,2759.886130168072,2776.4917322912406
sample09.pathological,2672.574705460659,2705.518572272541,2729.874627091928,2671.534826441821,2690.1523259111145,2727.8093630499698,2730.0065027773153,2759.886130168072,3528.2629117404076,2670.8486256809197
sample10.pathological,2690.236344661352,2709.0596004994372,2734.137583413713,2675.797782763606,2653.3181511900143,2680.5199218549697,2709.3306998167095,2776.4917322912406,2670.8486256809197,3523.931316379813
